Turn,AvgReputation,FraudsterReputation,HonestReputation,FraudsterCount
0,0.505,0.509259,0.5,54,1
0,0.51,0.518519,0.5,54,1
0,0.515,0.527778,0.5,54,1
0,0.52,0.537037,0.5,54,1
0,0.525,0.537037,0.51087,54,1
0,0.53,0.537037,0.521739,54,1
0,0.535,0.537037,0.532609,54,1
0,0.54,0.546296,0.532609,54,1
0,0.545,0.546296,0.543478,54,1
0,0.55,0.555556,0.543478,54,1
0,0.555,0.555556,0.554348,54,1
0,0.56,0.564815,0.554348,54,1
0,0.565,0.574074,0.554348,54,1
0,0.57,0.574074,0.565217,54,1
0,0.575,0.574074,0.576087,54,1
0,0.58,0.574074,0.586957,54,1
0,0.585,0.583333,0.586957,54,1
0,0.59,0.583333,0.597826,54,1
0,0.595,0.592593,0.597826,54,1
0,0.6,0.592593,0.608696,54,1
0,0.605,0.601852,0.608696,54,1
0,0.61,0.601852,0.619565,54,1
0,0.615,0.611111,0.619565,54,1
0,0.62,0.611111,0.630435,54,1
0,0.625,0.611111,0.641304,54,1
0,0.63,0.62037,0.641304,54,1
0,0.635,0.62037,0.652174,54,1
0,0.64,0.62963,0.652174,54,1
0,0.645,0.62963,0.663043,54,1
0,0.65,0.62963,0.673913,54,1
0,0.655,0.62963,0.684783,54,1
0,0.66,0.62963,0.695652,54,1
0,0.665,0.62963,0.706522,54,1
0,0.67,0.638889,0.706522,54,1
0,0.675,0.648148,0.706522,54,1
0,0.68,0.657407,0.706522,54,1
0,0.685,0.657407,0.717391,54,1
0,0.69,0.657407,0.728261,54,1
0,0.695,0.666667,0.728261,54,1
0,0.7,0.675926,0.728261,54,1
0,0.705,0.675926,0.73913,54,1
0,0.71,0.685185,0.73913,54,1
0,0.715,0.685185,0.75,54,1
0,0.72,0.694444,0.75,54,1
0,0.725,0.694444,0.76087,54,1
0,0.73,0.694444,0.771739,54,1
0,0.735,0.703704,0.771739,54,1
0,0.74,0.712963,0.771739,54,1
0,0.745,0.722222,0.771739,54,1
0,0.75,0.722222,0.782609,54,1
0,0.755,0.731481,0.782609,54,1
0,0.76,0.740741,0.782609,54,1
0,0.765,0.75,0.782609,54,1
0,0.77,0.759259,0.782609,54,1
0,0.775,0.759259,0.793478,54,1
0,0.78,0.768519,0.793478,54,1
0,0.785,0.777778,0.793478,54,1
0,0.79,0.787037,0.793478,54,1
0,0.795,0.787037,0.804348,54,1
0,0.8,0.787037,0.815217,54,1
0,0.805,0.787037,0.826087,54,1
0,0.81,0.787037,0.836957,54,1
0,0.815,0.796296,0.836957,54,1
0,0.82,0.796296,0.847826,54,1
0,0.825,0.805556,0.847826,54,1
0,0.83,0.814815,0.847826,54,1
0,0.835,0.814815,0.858696,54,1
0,0.84,0.824074,0.858696,54,1
0,0.845,0.824074,0.869565,54,1
0,0.85,0.833333,0.869565,54,1
0,0.847,0.827778,0.869565,54,1
0,0.852,0.827778,0.880435,54,1
0,0.857,0.827778,0.891304,54,1
0,0.862,0.837037,0.891304,54,1
0,0.867,0.846296,0.891304,54,1
0,0.872,0.855556,0.891304,54,1
0,0.877,0.864815,0.891304,54,1
0,0.882,0.874074,0.891304,54,1
0,0.887,0.874074,0.902174,54,1
0,0.892,0.874074,0.913043,54,1
0,0.897,0.874074,0.923913,54,1
0,0.894,0.868519,0.923913,54,1
0,0.899,0.877778,0.923913,54,1
0,0.904,0.877778,0.934783,54,1
0,0.909,0.877778,0.945652,54,1
0,0.914,0.877778,0.956522,54,1
0,0.919,0.887037,0.956522,54,1
0,0.924,0.896296,0.956522,54,1
0,0.929,0.905556,0.956522,54,1
0,0.934,0.905556,0.967391,54,1
0,0.939,0.914815,0.967391,54,1
0,0.944,0.924074,0.967391,54,1
0,0.949,0.933333,0.967391,54,1
0,0.954,0.933333,0.978261,54,1
0,0.959,0.942593,0.978261,54,1
0,0.964,0.951852,0.978261,54,1
0,0.969,0.961111,0.978261,54,1
0,0.974,0.97037,0.978261,54,1
0,0.979,0.97037,0.98913,54,1
0,0.984,0.97037,1,54,1
