Run,Condition,AvgMoney,AvgFraudRate,PriceVolatility
59,Reputation,220828,0.4297,1.27857e+07
59,NoReputation,301875,0.3612,1.27857e+07
60,Reputation,205695,0.3972,1.27857e+07
60,NoReputation,276686,0.35115,1.27857e+07
61,Reputation,191490,0.4382,1.27857e+07
61,NoReputation,273504,0.35805,1.27857e+07
62,Reputation,206765,0.40515,1.27857e+07
62,NoReputation,281411,0.34235,1.27857e+07
63,Reputation,18.0905,0.41235,0.0372577
63,NoReputation,19.958,0.4273,0.0372577
64,Reputation,228444,0.39785,1.27857e+07
64,NoReputation,299485,0.34305,1.27857e+07
65,Reputation,228546,0.4248,1.27857e+07
65,NoReputation,283645,0.3551,1.27857e+07
66,Reputation,18.3007,0.36865,0.0372577
66,NoReputation,20.0731,0.35745,0.0372577
67,Reputation,18.2811,0.39635,0.0372577
67,NoReputation,20.0404,0.39015,0.0372577
68,Reputation,18.1547,0.39895,0.0372577
68,NoReputation,20.0872,0.3865,0.0372577
69,Reputation,215646,0.42635,1.27857e+07
69,NoReputation,292373,0.3457,1.27857e+07
70,Reputation,18.0779,0.38665,0.0372577
70,NoReputation,19.7723,0.37165,0.0372577
71,Reputation,212081,0.4093,1.27857e+07
71,NoReputation,285911,0.357,1.27857e+07
72,Reputation,242156,0.41025,1.27857e+07
72,NoReputation,290111,0.33205,1.27857e+07
73,Reputation,217220,0.4094,1.27857e+07
73,NoReputation,301689,0.3473,1.27857e+07
74,Reputation,220213,0.41915,1.27857e+07
74,NoReputation,295496,0.35395,1.27857e+07
75,Reputation,19.1269,0.3828,0.0372577
75,NoReputation,20.8077,0.39115,0.0372577
76,Reputation,17.142,0.3975,0.0372577
76,NoReputation,19.4979,0.4026,0.0372577
77,Reputation,218587,0.41265,1.27857e+07
77,NoReputation,290596,0.3689,1.27857e+07
78,Reputation,18.3413,0.4261,0.0372577
78,NoReputation,19.9681,0.43075,0.0372577
79,Reputation,17.8229,0.43135,0.0372577
79,NoReputation,19.2244,0.41215,0.0372577
80,Reputation,17.3135,0.44095,0.0372577
80,NoReputation,19.4106,0.43925,0.0372577
81,Reputation,192251,0.4272,1.27857e+07
81,NoReputation,298530,0.35005,1.27857e+07
82,Reputation,17.4137,0.3957,0.0372577
82,NoReputation,19.5087,0.40485,0.0372577
83,Reputation,18.7545,0.362,0.0372577
83,NoReputation,20.6646,0.3658,0.0372577
84,Reputation,231389,0.39295,1.27857e+07
84,NoReputation,296661,0.31625,1.27857e+07
85,Reputation,201917,0.4034,1.27857e+07
85,NoReputation,272698,0.3509,1.27857e+07
86,Reputation,19.2511,0.38635,0.0372577
86,NoReputation,20.9224,0.37445,0.0372577
87,Reputation,215630,0.4141,1.27857e+07
87,NoReputation,283490,0.36655,1.27857e+07
88,Reputation,17.9346,0.40655,0.0372577
88,NoReputation,19.7402,0.4261,0.0372577
89,Reputation,17.1431,0.39815,0.0372577
89,NoReputation,18.8419,0.40275,0.0372577
90,Reputation,17.7402,0.39585,0.0372577
90,NoReputation,19.6609,0.38985,0.0372577
91,Reputation,215993,0.4135,1.27857e+07
91,NoReputation,288806,0.3379,1.27857e+07
92,Reputation,214217,0.41095,1.27857e+07
92,NoReputation,289305,0.3482,1.27857e+07
93,Reputation,224701,0.41255,1.27857e+07
93,NoReputation,295374,0.3614,1.27857e+07
94,Reputation,225598,0.42195,1.27857e+07
94,NoReputation,291714,0.33785,1.27857e+07
95,Reputation,17.4063,0.42925,0.0372577
95,NoReputation,19.6171,0.4383,0.0372577
96,Reputation,235670,0.4128,1.27857e+07
96,NoReputation,297232,0.3582,1.27857e+07
97,Reputation,200574,0.4306,1.27857e+07
97,NoReputation,265361,0.3667,1.27857e+07
98,Reputation,216731,0.4328,1.27857e+07
98,NoReputation,287739,0.3692,1.27857e+07
99,Reputation,18.3565,0.42605,0.0372577
99,NoReputation,19.9731,0.4129,0.0372577
